"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","X10_r2","status"
"data36",104837.0562,128,102,0,0.4045,0.1271,0.5143,0.6728,69219.9404,68555.2071,-34175.6036,0.9839,0.5336,0.1786,0.6004,0.9999,0.9776,0.9883,0.6245,0.9557,0.8568,"last known convergence"
"data37",75604.0399,125,105,0,0.3475,0.112,0.6345,0.7595,46142.8744,45458.5901,-22624.295,0.9786,0.5112,0.1556,0.5994,0.9999,0.9799,0.9889,0.9926,0.9854,0.8745,"last known convergence"
"data38",91797.2875,127,103,0,0.38,0.1152,0.5658,0.7098,60336.9983,59665.748,-29729.874,0.9815,0.5364,0.1915,0.6027,0.9999,0.9767,0.9908,0.9626,0.9367,0.8449,"last known convergence"
"data39",77002.057,125,105,0,0.3508,0.112,0.6375,0.7615,39099.5628,38415.2786,-19102.6393,0.9797,0.548,0.1907,0.5956,0.9999,0.9833,0.9917,0.9937,0.9858,0.8908,"last known convergence"
"data4",75634.1864,125,105,0,0.3476,0.1101,0.6364,0.7608,44376.6217,43692.3374,-21741.1687,0.978,0.5195,0.1734,0.6011,0.9999,0.9805,0.9922,0.9928,0.985,0.8766,"last known convergence"
"data40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data41",84568.0246,126,104,0,0.3661,0.1127,0.6009,0.7353,49937.4842,49259.7169,-24525.8585,0.9786,0.5051,0.1653,0.5923,0.9999,0.9844,0.9914,0.9622,0.9858,0.8945,"last known convergence"
"data42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data45",106019.4535,128,102,0,0.4068,0.1265,0.5094,0.6695,70038.0098,69373.2765,-34584.6382,0.978,0.5367,0.1874,0.5935,0.9999,0.9842,0.9899,0.6269,0.9332,0.8984,"last known convergence"
"data46",94128.8557,127,103,0,0.3848,0.1184,0.5612,0.7067,58035.4572,57364.2069,-28579.1035,0.9797,0.5485,0.1875,0.5921,0.9999,0.9835,0.9903,0.9622,0.9218,0.8915,"last known convergence"
"data47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data50",84000.4862,126,104,0,0.3649,0.1164,0.6013,0.7356,51206.9575,50529.1902,-25160.5951,0.9798,0.5462,0.1849,0.5994,0.9999,0.9808,0.9892,0.9932,0.9255,0.8812,"last known convergence"
"data51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data52",54635.5994,123,107,0,0.2978,0.0571,0.7368,0.8296,19180.3874,18483.0691,-9134.5346,0.9758,0.5335,0.1867,0.8887,0.9999,0.985,0.9923,0.9932,0.9993,0.8973,"last known convergence"
"data53",92518.456,127,103,0,0.3815,0.1168,0.5619,0.7072,61423.8619,60752.6116,-30273.3058,0.9787,0.5531,0.17,0.5961,0.9999,0.9795,0.9906,0.9593,0.9244,0.8701,"last known convergence"
"data54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data55",85999.4154,126,104,0,0.3692,0.1145,0.5998,0.7346,46834.5022,46156.7349,-22974.3675,0.9783,0.5253,0.171,0.5892,0.9999,0.9864,0.9889,0.9646,0.9866,0.9109,"last known convergence"
"data56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data59",69844.8325,125,105,0,0.334,0.1134,0.6719,0.7842,31213.7772,30529.4929,-15159.7465,0.9803,0.5163,0.1825,0.5956,0.9999,0.983,0.9921,0.965,0.9993,0.891,"last known convergence"
"data6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data60",92677.3015,127,103,0,0.3818,0.1167,0.5578,0.7044,64010.5906,63339.3403,-31566.6701,0.9772,0.5256,0.1848,0.5965,0.9999,0.9802,0.9902,0.9571,0.9166,0.8762,"last known convergence"
"data7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data8",93964.6853,127,103,0,0.3845,0.12,0.555,0.7026,62889.2787,62218.0284,-31006.0142,0.9714,0.515,0.1489,0.5818,0.9999,0.9856,0.9913,0.9585,0.8913,0.9064,"last known convergence"
"data9",83787.3596,126,104,0,0.3644,0.1144,0.6018,0.736,51372.9682,50695.2009,-25243.6004,0.9777,0.5123,0.1633,0.5986,0.9999,0.982,0.9931,0.993,0.9166,0.88,"last known convergence"
