"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V5_r2","V6_r2","V7_r2","V8_r2","V9_r2","V10_r2","status"
"data39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data40",5160.3961,113,117,0,0.0945,0.0113,0.9732,0.9841,37242.2554,36479.7672,-18122.8836,0.8571,0.5022,0.5007,0.9999,0.9802,0.9898,0.9936,0.9993,0.9783,"converged normally"
"data41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data51",5243.051,113,117,0,0.0953,0.0129,0.9731,0.984,37056.3732,36293.885,-18029.9425,0.8849,0.5077,0.5016,0.9999,0.984,0.989,0.9933,0.9993,0.9837,"converged normally"
"data52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data54",5377.9507,113,117,0,0.0965,0.0119,0.9725,0.9836,38701.1622,37938.674,-18852.337,0.8413,0.5545,0.5365,0.9999,0.9789,0.9916,0.9938,0.9993,0.9775,"converged normally"
"data55",5316.9891,113,117,0,0.096,0.0115,0.973,0.9839,39868.4436,39105.9554,-19435.9777,0.8708,0.5253,0.5261,0.9999,0.9865,0.9889,0.9937,0.9993,0.9854,"converged normally"
"data56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data6",5040.2582,113,117,0,0.0934,0.0125,0.9734,0.9842,34993.6587,34231.1705,-16998.5852,0.8446,0.5096,0.5105,0.9999,0.9803,0.9897,0.9924,0.9992,0.9786,"converged normally"
"data60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data8",5111.3011,113,117,0,0.0941,0.0119,0.9734,0.9842,38616.8784,37854.3902,-18810.1951,0.8781,0.515,0.5105,0.9999,0.9857,0.9913,0.9923,0.9992,0.9846,"converged normally"
"data9",5094.1918,113,117,0,0.0939,0.0112,0.9736,0.9843,38997.7107,38235.2225,-19000.6113,0.8419,0.5123,0.509,0.9999,0.9822,0.9931,0.993,0.9993,0.9799,"converged normally"
